WIPRO.NS,Wipro Limited
BRITANNIA.NS,Britannia Industries Limited
TECHM.NS,Tech Mahindra Limited
NESTLEIND.NS,Nestlé India Limited
MARUTI.NS,Maruti Suzuki India Limited
BAJAJFINSV.NS,Bajaj Finserv Ltd.
HEROMOTOCO.NS,Hero MotoCorp Limited
TCS.NS,Tata Consultancy Services Limited
ITC.NS,ITC Limited
TATACONSUM.NS,Tata Consumer Products Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
ONGC.NS,Oil and Natural Gas Corporation Limited
ICICIBANK.NS,ICICI Bank Limited
ULTRACEMCO.NS,UltraTech Cement Limited
BAJFINANCE.NS,Bajaj Finance Limited
COALINDIA.NS,Coal India Limited
HINDALCO.NS,Hindalco Industries Limited
INDUSINDBK.NS,IndusInd Bank Limited
TATASTEEL.NS,Tata Steel Limited
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
LT.NS,Larsen & Toubro Limited
TITAN.NS,Titan Company Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
ADANIENT.NS,Adani Enterprises Limited
MM.NS,MM.NS
CIPLA.NS,Cipla Limited
RELIANCE.NS,Reliance Industries Limited
NTPC.NS,NTPC Limited
BHARTIARTL.NS,Bharti Airtel Limited
HDFCLIFE.NS,HDFC Life Insurance Company Limited
